id,produto,concurso,numeros_acertados,qtd_acertos,situacao
0,lotofacil,2641,"[3, 5, 7, 8, 12, 13, 17, 19, 20, 23, 24]",11,premiada
1,lotofacil,2641,"[1, 3, 4, 7, 8, 12, 13, 14, 17, 19, 20, 23, 24]",13,premiada
2,lotofacil,2640,"[6, 7, 9, 10, 11, 12, 14, 15, 16, 18, 19, 21, 22, 25]",14,premiada
3,lotofacil,2640,"[7, 9, 10, 11, 12, 14, 15, 16, 18, 19, 21, 22, 25]",13,premiada
4,lotofacil,2640,"[9, 10, 11, 12, 14, 15, 16, 18, 19, 21, 22, 25]",12,premiada
5,lotofacil,2640,"[9, 10, 11, 14, 15, 16, 18, 19, 21, 22, 25]",11,premiada
6,lotofacil,2637,"[8, 9, 10, 12, 19, 20, 21, 22, 23, 24, 25]",11,premiada
7,lotofacil,2638,"[4, 9, 10, 12, 14, 15, 18, 19, 21, 22, 23, 24, 25]",13,premiada
8,lotofacil,2639,"[3, 8, 9, 11, 12, 14, 15, 16, 18, 20, 21, 22, 24]",13,premiada
9,megasena,2530,"[14, 17, 18, 28]",4,premiada
10,megasena,2529,"[3, 5, 32, 56, 59]",5,premiada
11,megasena,2518,"[3, 22, 23, 44, 53, 60]",6,premiada
